title,release_date,overview,end_range,opening_weekend
Godkiller: Walk Among Us,2010-05-25,"Even in a postapocalyptic future in which Earth has been colonized by aliens, humans need hearts to live, so when an orphan boy's sister needs a new one, he'll go to just about any length to get it in this ""illustrated film"" from Matt Pizzolo.",2010-06-01,2010-05-27
Guardian,2001-06-12,"With a spate of violence that rocks the inner city, L.A.P.D. and ex-Marine John Kross investigates its cause: a new drug called Chaos. With help from his partner Carpenter, they delve into the mystery, only to discover a link between the drug and a terrifying supernatural power unleashed during the gulf war, witnessed by Kross twelve years ago. Now, Kross must race against time to stop the destruction, battle his own demons and come to grips with his destiny as he discovers that his reality has been mapped by a power much greater than himself.",2001-06-19,2001-06-14
Ray Tracey in Full Tilt,2000-07-21,"Ray Tracey, a sassy speed demon, has just two minutes to race and catch a screening of the Electronic Theater. Unfortunately for our heroine, she must evade the pursuit of the dangerous 'Cop-Cycles' and 'Heli-Cop-Ters', who will spare no fire-power to stop her journey.",2000-07-28,2000-07-23
Interplanetary,2009-09-28,"Nine men and women, employees of Interplanetary Corporation, live and work on Mars. Their days aren't particularly interesting, much less exciting, until they are assaulted by a murderous band of strangers and a seemingly unstoppable alien creature. Do these attacks have anything to do with the Martian fossil recently uncovered by one of the employees? Will the rapidly increasing body count adversely affect Interplanetary's stock price? And can anyone survive long enough to fill out the inevitable paperwork?",2009-10-05,2009-09-30
Let There Be Light: The Odyssey of Dark Star,2010-10-26,"Exploring the controversial story behind John Carpenter (Halloween &amp; The Thing) and writer Dan O Bannon's (Alien &amp; Return of the Living Dead) from first feature film. From its humble beginnings as a USC student film, to its modern day status as a cult masterpiece. It also offers a rare glimpse inside the creative minds of two USC film students... who would eventually go on to change the way horror films are made.",2010-11-02,2010-10-28
Network Keepers,2010-11-11,"Igor, Max and Zhenya are members of Network Keepers - a secret organization of hackers...",2010-11-18,2010-11-13
Prism,2007-02-28,"When a young autistic boy witnesses the brutal murder of his parents and falls into a mysterious catatonic state a lovely young psychologist takes on the challenge of helping him. But her solitary quest for answers gets more peculiar and unnerving at each turn, leading her in a direction which tests her professionalism, relationships, and her very hold on reality",2007-03-07,2007-03-02
Bottom Feeder,2007-04-03,"A group of utility workers are trapped in a series of tunnels which, unfortunately, contain a scientist mutated by his own creation. The creature feeds instantly on a rat, becoming what it has eaten.",2007-04-10,2007-04-05
Frankenstein vs. the Creature from Blood Cove,2005-10-04,"Near an isolated beach on California's coast, a sinister plan is underway in a laboratory of horror. Three renegade scientists have resurrected the Frankenstein Monster. . . legendary indestructible dead man come to life. . . and they have also created a biogentically engineered half-man, half fish abomination. . . to use as secret weapons in the fight against terrorists worldwide. However, disaster strikes when the terrifying monsters chemical brainwashing fails and the entire plan goes to hell! Instead of stopping terror, these invincible monsters spread terror! The first victims. . . young people on a glamour photo shoot are attacked by the amphibious beast of evil! Rescued and held hostage by the scientists, the survivors must find a way to escape the madmen and the monsters!",2005-10-11,2005-10-06
Mutanten,2002-01-01,No overview found.,2002-01-08,2002-01-03
Tears of Kali,2004-01-01,,2004-01-08,2004-01-03
Atom Nine Adventures,2010-06-06,"In a remote forest, Astrophysicist Dr. Adam Gaines and his homemade robotic assistant Jimbot recover a 3.5 billion year old meteorite containing an alien organism that may hold the secrets to the universe. What they don't realize is that a mysterious terrorist named Gremlo Flugg and his band of ""Fluggmen"" also seek the ancient contents of the meteorite so they can carry out their sinister plans to take over planet Earth.",2010-06-13,2010-06-08
The Exotic Time Machine,1998-05-19,"On board a space station in the near future, Leon falls into its time portal and lands in the boudoir of Marie Antoinette. He observes a dalliance of the queen with her maid, Mimi; then the queen finds him, suspects he's the king's spy, and seduces him. The king catches them in flagrante delicto and sends Leon to the Bastille. Back in space, Daria tries to rescue Leon, but she whizzes to Arabia, where she meets Shahrazad and Aladdin. She reaches France just as Mimi frees Leon from the Bastille. By way of Capone's Chicago, all three go back to the future where they find fascists in charge. To save freedom and fulfill her destiny, Mimi must go back to King Louis's court.",1998-05-26,1998-05-21
Destination: Mars,2007-09-18,"Documentary about the scientific assumptions behind the 1964 film ""Robinson Crusoe on Mars.""",2007-09-25,2007-09-20
Blood Red Planet,2000-07-31,"From beyond the galaxy comes a terror heading toward earth, destroying everything in its path: a rogue planetoid from the outer reaches of the cosmos itself. After a failed attempt by the Omega 1 to eliminate the mysterious space entity, the crew of the Omega 2 blast off as the last hope for mankind. As minutes and seconds tick away, the motley crew discovers the terrible secret inside the planetoid. They're the only ones keeping the human race from total extinction! Can the world be saved ?!",2000-08-07,2000-08-02
Sheared,2011-01-01,No overview found.,2011-01-08,2011-01-03
Jeremy Fink and the Meaning of Life,2012-03-06,Jeremy Fink and his best friend Lizzy must search high and low throughout the streets of Manhattan for clues to unlock the mysterious box he received a month before his birthday.,2012-03-13,2012-03-08
Out of the Blue,2002-07-22,This documentary on The UFO Phenomenon aims to show that some UFOs may be extraterrestrial and that secrecy and ridicule are regularly employed to keep the truth about UFOs hidden.,2002-07-29,2002-07-24
Duct Wars: Midnight Shadows,2004-03-16,"The Emperor, after rising, brings back the Masked inVader from 'The Rebellion' and Schlim from 'The Silver Enemy' and forms a lethal group with 8 other warriors. Christo, Katano and the freedom fighters from years past all must engage in the final showdown.",2004-03-23,2004-03-18
11 Minutes Ago,2007-04-26,"Traveling in 11-minute increments, a time-tumbler from 48-years in the future spends two years of his life weaving through a two-hour wedding reception.",2007-05-03,2007-04-28
Numb,2003-01-01,"In a future where emotion and desire have been wiped away by an unshakable new narcotic, society exists simply to provide a constant source of the drug. Crumbling Yerba city stands empty, except for its drug-parlors, where the remnants of the population cluster, drifting towards oblivion. Only the android attendants are still capable of action, mindlessly maintaining and administering the 'drip'. Years after escaping to the wastelands outside the city, Claire, one of the few people left who is not an addict, returns looking for the one man who still matters to her. As she makes her way through the dazed world of the city's junkies, only one person seems able to provide any help: the obsessive and self-destructive Miles, the last of the city's security officers. Genetically engineered to be immune to the drug, Miles' strange charisma draws Claire to him, but when he brutally guns down a group of harmless dissidents...",2003-01-08,2003-01-03
Half Seriously,2001-11-11,"Konecki works here with none other than Andrzej Saramonowicz who makes his debut as a film writer with this film that one could view as a spoof of today's cinema, focusing mainly on the part of ""O Romeo, Romeo, wherefore art thou Romeo?""",2001-11-18,2001-11-13
First Invasion: The War of 1812,2004-09-12,"First Invasion: The War of 1812, a History Channel documentary that first aired in 2004, portrays a young United States of America ""on the brink of annihilation"" as it battles the largest and most powerful empire on earth. Critics say the documentary is far too pro-American, and that it ignores or downplays crucial elements of the War of 1812. Others praise First Invasion for its compelling presentation of a far too neglected period of history.",2004-09-19,2004-09-14
